title;description;href;vol_price;volume;price;strike;price_1;discount;discount_1
Аликанте;Состав: смесь двух арабик из Колумбии и Эфиопии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/svezheobzharennyy-kofe-tabera-alikante/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Аликанте;Состав: смесь двух арабик из Колумбии и Эфиопии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/svezheobzharennyy-kofe-tabera-alikante/#title;500 гр. (700 руб. );500;700;0;1400,0;595,0;1190,0
Аликанте;Состав: смесь двух арабик из Колумбии и Эфиопии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/svezheobzharennyy-kofe-tabera-alikante/#title;1 кг. (1 350 руб. );1000;1350;0;1350,0;1147,5;1147,5
Санта Круз;Состав: смесь трех арабик из Колумбии, Бразилии и Эфиопии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/svezheobzharennyy-kofe-tabera-santa-kruz/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Санта Круз;Состав: смесь трех арабик из Колумбии, Бразилии и Эфиопии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/svezheobzharennyy-kofe-tabera-santa-kruz/#title;500 гр. (700 руб. );500;700;0;1400,0;595,0;1190,0
Санта Круз;Состав: смесь трех арабик из Колумбии, Бразилии и Эфиопии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/svezheobzharennyy-kofe-tabera-santa-kruz/#title;1 кг. (1 300 руб. );1000;1300;0;1300,0;1105,0;1105,0
Доницетти;Состав: смесь арабик;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-donitsetti/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Доницетти;Состав: смесь арабик;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-donitsetti/#title;500 гр. (750 руб. );500;750;0;1500,0;637,5;1275,0
Доницетти;Состав: смесь арабик;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-donitsetti/#title;1 кг. (1 400 руб. );1000;1400;0;1400,0;1190,0;1190,0
Индия Пачмент;Состав: Индия Пачмент - 100% робуста;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/indiya-robusta-pachment/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Индия Пачмент;Состав: Индия Пачмент - 100% робуста;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/indiya-robusta-pachment/#title;500 гр. (600 руб. );500;600;0;1200,0;510,0;1020,0
Индия Пачмент;Состав: Индия Пачмент - 100% робуста;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/indiya-robusta-pachment/#title;1 кг. (1 100 руб. );1000;1100;0;1100,0;935,0;935,0
Перу;Состав: Перу - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/svezheobzharennyy-kofe-peru/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Перу;Состав: Перу - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/svezheobzharennyy-kofe-peru/#title;500 гр. (700 руб. );500;700;0;1400,0;595,0;1190,0
Перу;Состав: Перу - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/svezheobzharennyy-kofe-peru/#title;1 кг. (1 350 руб. );1000;1350;0;1350,0;1147,5;1147,5
Куба Серрано;Состав: Куба Серрано - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/cuba-serrano/#title;200 гр. (500 руб. );200;500;0;2500,0;425,0;2125,0
Куба Серрано;Состав: Куба Серрано - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/cuba-serrano/#title;500 гр. (950 руб. );500;950;0;1900,0;807,5;1615,0
Куба Серрано;Состав: Куба Серрано - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/cuba-serrano/#title;1 кг. (1 800 руб. );1000;1800;0;1800,0;1530,0;1530,0
Колумбия Катурра;Состав: Колумбия Катурра - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/svezheobzharennyy-kofe-tabera-kolumbiya-katurra/#title;200 гр. (500 руб. );200;500;0;2500,0;425,0;2125,0
Колумбия Катурра;Состав: Колумбия Катурра - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/svezheobzharennyy-kofe-tabera-kolumbiya-katurra/#title;500 гр. (900 руб. );500;900;0;1800,0;765,0;1530,0
Колумбия Катурра;Состав: Колумбия Катурра - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/svezheobzharennyy-kofe-tabera-kolumbiya-katurra/#title;1 кг. (1 700 руб. );1000;1700;0;1700,0;1445,0;1445,0
Сан-Себастьян;Состав: смесь трех арабик из Колумбии, Эфиопии и Гватемалы;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/san-sebastyan/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Сан-Себастьян;Состав: смесь трех арабик из Колумбии, Эфиопии и Гватемалы;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/san-sebastyan/#title;500 гр. (750 руб. );500;750;0;1500,0;637,5;1275,0
Сан-Себастьян;Состав: смесь трех арабик из Колумбии, Эфиопии и Гватемалы;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/san-sebastyan/#title;1 кг. (1 400 руб. );1000;1400;0;1400,0;1190,0;1190,0
Севилья;Состав: смесь двух арабик из Эфиопии и Бразилии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-sevilya/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Севилья;Состав: смесь двух арабик из Эфиопии и Бразилии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-sevilya/#title;500 гр. (650 руб. );500;650;0;1300,0;552,5;1105,0
Севилья;Состав: смесь двух арабик из Эфиопии и Бразилии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-sevilya/#title;1 кг. (1 200 руб. );1000;1200;0;1200,0;1020,0;1020,0
Валенсия;Состав: смесь арабики (60%) и робусты (40%);https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-valensiya/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Валенсия;Состав: смесь арабики (60%) и робусты (40%);https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-valensiya/#title;500 гр. (550 руб. );500;550;0;1100,0;467,5;935,0
Валенсия;Состав: смесь арабики (60%) и робусты (40%);https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-valensiya/#title;1 кг. (1 000 руб. );1000;1000;0;1000,0;850,0;850,0
Таррагона;Состав: смесь арабики (85%) и робусты (15%);https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-tarragona/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Таррагона;Состав: смесь арабики (85%) и робусты (15%);https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-tarragona/#title;500 гр. (750 руб. );500;750;0;1500,0;637,5;1275,0
Таррагона;Состав: смесь арабики (85%) и робусты (15%);https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-tarragona/#title;1 кг. (1 400 руб. );1000;1400;0;1400,0;1190,0;1190,0
Бразилия Можиана;Состав: Бразилия Можиана - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/braziliya-mozhiana/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Бразилия Можиана;Состав: Бразилия Можиана - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/braziliya-mozhiana/#title;500 гр. (650 руб. );500;650;0;1300,0;552,5;1105,0
Бразилия Можиана;Состав: Бразилия Можиана - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/braziliya-mozhiana/#title;1 кг. (1 200 руб. );1000;1200;0;1200,0;1020,0;1020,0
Эфиопия Иргачеффе гр.4;Состав: Эфиопия Иргачеффе гр.4 - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/efiopiya-irgacheffe-gr4/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Эфиопия Иргачеффе гр.4;Состав: Эфиопия Иргачеффе гр.4 - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/efiopiya-irgacheffe-gr4/#title;500 гр. (700 руб. );500;700;0;1400,0;595,0;1190,0
Эфиопия Иргачеффе гр.4;Состав: Эфиопия Иргачеффе гр.4 - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/efiopiya-irgacheffe-gr4/#title;1 кг. (1 350 руб. );1000;1350;0;1350,0;1147,5;1147,5
